       Omega           X           Y   Intensity        Size       Eig 1       Eig 2       Eig 3      Eigv 1      Eigv 2      Eigv 3      Eigv 4      Eigv 5      Eigv 6      Eigv 7      Eigv 8      Eigv 9
        1.00      747.00      985.00     758.190       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
        1.00      743.00      998.00     365.055       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
        4.00      745.00      997.00     374.415       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
        6.00      746.00      996.00     374.415       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
        7.00      750.00      983.00     814.353       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
        8.00      745.00      995.00     374.415       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
       14.00      759.00      976.00    8480.499     404.000       7.097       3.772       4.771       0.855      -0.374       0.359      -0.498      -0.399       0.770      -0.145      -0.837      -0.527
       15.50      755.00      990.00    8957.878     111.000       3.559       2.434       2.507       0.257      -0.958       0.090      -0.888      -0.270      -0.230       0.250      -0.045      -0.925
       19.00      757.00      981.00    8555.382     741.000       7.038       4.866       5.602       0.898      -0.391       0.203      -0.424      -0.644       0.637      -0.118      -0.658      -0.744
       25.00      745.00      985.00     252.730       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
       28.00      748.00      976.00     252.730       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
       28.00      748.00      983.00     234.009       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
       30.00      764.00      987.00     336.973       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
       33.00      761.00      995.00     187.207       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
       35.00      755.50      983.00     224.649       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
